id;ma_dan_toc;ten_dan_toc;mo_ta;ma_bhyt;ma_bhxh
1;Licensed withdrawal Quality;markets Extended programming;Triple-buffered;Stream withdrawal withdrawal;Points Polarised Senior
2;Cambridgeshire Computer;Analyst bandwidth Small Steel Computer;alarm Licensed Steel Computer Books;Buckinghamshire facilitate Green;holistic reboot invoice
3;e-business;Awesome invoice;Gorgeous Cotton Chair Ergonomic Cambridgeshire;regional compress Personal Loan Account;Djibouti Franc Music
4;Money Market Account;Generic Frozen Hat Camp Principal;back-end;Wall;Investment Account
5;Legacy Slovenia;deposit Steel;Unbranded Savings Account;seize;Japan maximize
6;Response;Research;tan TCP invoice;New Taiwan Dollar;SCSI
7;Universal Egypt invoice;Wall;input Rhode Island Tuna;Gloves;parse user-facing
8;Handmade Wooden Computer Metal;Licensed Manager Borders;copying;relationships quantify generate;array Delaware
9;Refined New York PNG;Keyboard Overpass;open-source;circuit Engineer Intelligent;SAS deposit
10;Saint Barthelemy;generating Savings Account Indian Rupee;haptic Macedonia;synthesizing;Sports back up ivory
