id;loai;ma;ten;mota;ma_byt
1;23763;transmitter;Point Orchestrator;Solomon Islands Licensed;Gloves Bedfordshire Argentine Peso
2;85835;neural-net red;Buckinghamshire Future-proofed deposit;Quality;synthesize Creative
3;13752;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;Agent
4;55829;THX pink even-keeled;bus Internal AI;THX bypassing Marketing;Dynamic Home Loan Account Tools
5;10147;invoice Home Gloves;Buckinghamshire Ports;Devolved driver Networked;Fish
6;36646;program alarm;Nevada;Berkshire;dedicated Persevering
7;97301;target Human withdrawal;dot-com payment Libyan Dinar;white sensor local;calculate
8;4360;Representative;Response Human;back up Factors;architectures
9;96665;Strategist SDD;functionalities;compressing;Bedfordshire
10;37268;matrix calculating;Arkansas Intelligent Credit Card Account;intuitive Open-architected system-worthy;program
