id;ma;ten;loai;ma_bh
1;bluetooth payment digital;Rubber Industrial seamless;58991;mesh partnerships
2;array Luxembourg Spurs;empower Home Loan Account SMS;94952;Granite Configuration Buckinghamshire
3;Practical Steel Chips;Berkshire concept;63340;Future-proofed Awesome
4;Creek;Shirt Metal;64087;Chicken
5;e-business RSS;Rand Soap;19228;Licensed Wooden Pants
6;e-business;Awesome;12063;Island cyan
7;Granite open architecture;Ergonomic Soft Shoes;62790;Sleek GB Regional
8;Home;primary quantify Chips;20934;cultivate Bedfordshire
9;navigate Kiribati;bypass Games Customer-focused;71334;Internal Buckinghamshire Antarctica (the territory South of 60 deg S)
10;ADP;Hungary Configurable;26924;leverage Toys software
