id;ma;ten;loai;ma_bh
1;port Money Market Account;Chips National Idaho;40085;Glen Communications
2;Customer;Avon;61145;Clothing
3;Personal Loan Account Awesome International;Lead alarm Cheese;57628;Checking Account markets
4;Unbranded programming District;Concrete;98484;hacking
5;programming;FTP;51883;New Mexico
6;streamline navigate;neural;463;leading-edge synergize
7;JSON National;interactive capacitor;45221;Assimilated Unions
8;Devolved;Avon web-readiness;91484;integrated
9;modular red;payment;17803;Division Towels applications
10;Zimbabwe;Bedfordshire;59538;Fantastic Soft Table
