id;ma;ten;mota
1;24/365;Frozen;magenta Turkish Lira
2;green Chicken Tasty;Metal Lead;Communications Generic Granite Gloves
3;Accountability Assurance Auto Loan Account;seamless indexing Handcrafted;Malta Auto Loan Account online
4;deposit Central African Republic;markets protocol Savings Account;Shoes HDD
5;utilisation;out-of-the-box Pizza;systems Sleek Wooden Towels Clothing
6;Fundamental Designer;Borders Intelligent whiteboard;Practical Steel Mouse
7;indexing;XSS;mindshare navigating Money Market Account
8;drive Analyst Awesome Fresh Hat;Michigan Clothing;Borders HDD
9;redundant withdrawal Planner;National;benchmark
10;invoice program;synthesize;Investor Tuna
