id;ma;ten;loai;mabh
1;Metal array France;redundant;81011;HDD
2;Sleek Beauty Auto Loan Account;deposit;70196;auxiliary Human
3;Tools California;North Dakota Garden;46559;Wallis and Futuna
4;generating;Computers Small Fresh Gloves back-end;12706;South Georgia and the South Sandwich Islands
5;composite Orchestrator Club;Intelligent Granite Shirt Peru deposit;72609;Strategist
6;card Licensed Cotton Ball;mindshare Gorgeous;2535;Brand
7;infomediaries Som Rustic Frozen Keyboard;Enterprise-wide Benin;71459;invoice
8;invoice;alarm Jamaica;61172;paradigms Organic strategic
9;Steel leading-edge Small;Incredible Fresh Chips;70365;Bridge
10;connect;Hollow Shoes systems;39850;Personal Loan Account
